"Name","ProductAction","ProductId","ImageAction","Stage","Error"
"185 Portable Air Compressor","already imported","88317f10-50eb-45af-9f93-45326340d7b6","uploaded + linked","done",""
"375 Portable Air Compressor","already imported","8d07ba49-93c2-433d-9473-c22d623f39f6","uploaded + linked","done",""
"750 Portable Air Compressor","already imported","90f6e2e7-2e7c-490a-93ef-6d6ceb3439fe","uploaded + linked","done",""
"900 Portable Air Compressor","already imported","153c18a9-6f45-4e55-acce-fc2288f04015","uploaded + linked","done",""
"Sullair Air Compressor","already imported","efc1fb0f-44ac-4ba9-b65e-1cc3a540c156","no legacy image","done",""
"Sullair Air Compressor","inserted","e02e7b2a-a75d-400e-9b2a-a11d3088899a","uploaded + linked","done",""
"1/2"" Hammer Drill","failed","","not attempted","product insert","The remote server returned an error: (400) Bad Request. | {""code"":""PGRST102"",""details"":null,""hint"":null,""message"":""Empty or invalid json""}"
"1/2"" Hammer Drill with Carrying Case","failed","","not attempted","product insert","The remote server returned an error: (400) Bad Request. | {""code"":""PGRST102"",""details"":null,""hint"":null,""message"":""Empty or invalid json""}"
"AP2000 Series","already imported","4c0cffce-484f-445c-9036-1ee232c04eda","uploaded + linked","done",""
"GP3000","already imported","8d9abe1c-8fc3-41b3-a3ee-33596bec9998","uploaded + linked","done",""
"Scoot-Crete MB11 (Walk-Behind Power Buggie)","failed","","not attempted","product insert","The remote server returned an error: (400) Bad Request. | {""code"":""PGRST102"",""details"":null,""hint"":null,""message"":""Empty or invalid json""}"
"MVC-88","already imported","c42f3dd1-ee1e-4343-985f-be85df805d9f","uploaded + linked","done",""
"MVH-120","already imported","d0f25694-bcb4-43e2-a4be-b6252128a32d","uploaded + linked","done",""
"MVH-R60","already imported","60186510-ef98-47a2-8718-2bb676691872","uploaded + linked","done",""
"BS 50-2i | 280mm/11in Shoe, Oil-injected Vibratory Rammer","already imported","240b91ed-1118-4c28-b165-a4c054ed3f30","uploaded + linked","done",""
"BS 52Y | Vibratory Rammer with 254mm/10in Shoe","already imported","66ae8e25-0c00-4889-a2dc-cf0bd03c8e82","uploaded + linked","done",""
"BS 60-2i | 280mm/11in Shoe, Oil-injected Vibratory Rammer","already imported","b7d003c9-45b1-41bd-b561-782332c6eab4","uploaded + linked","done",""
"BS 70-2i | 330mm/13in Shoe, Oil-injected Vibratory Rammer","already imported","2e415b77-517d-4238-9d39-adf47a662784","uploaded + linked","done",""
"Ideal for","already imported","31c12f24-8d2d-4c3b-8b97-8ab0c2c32a8b","uploaded + linked","done",""
"Finishing Brooms | *","already imported","8f8e36af-e743-4591-a938-1490fe5b50a5","uploaded + linked","done",""
"F-24, F-36/4, F-46/4, F-46/4 HD Models Available","already imported","24d980d2-6da6-4c91-a6c3-8dbef454b9bb","uploaded + linked","done",""
"36"" HP-Series (HPLA-36-4-8H","already imported","03d5810c-66e3-407d-81dd-40d11d606200","uploaded + linked","done",""
"48"" HD-series (HDA-48-4-11H)","already imported","3a7342ce-653f-4fbf-96e7-b6328a087127","uploaded + linked","done",""
"Concrete mixer mod. S 380 - type S 95","already imported","f06588b2-b55f-4b93-8797-cc0714742fd6","uploaded + linked","done",""
"Hydraulic Concrete mixer mod. Hopper","already imported","228ee40d-3d09-4fe6-a4da-09a4378af7da","uploaded + linked","done",""
"Hydraulic Concrete mixer mod. Hopper - S360","inserted","7d52806f-16fe-4b44-b6c7-4ea5b8faf1fe","uploaded + linked","done",""
"Hydraulic Concrete mixer mod. Hopper - S520","already imported","5b0c4b5b-8a65-4f54-adb0-7762e54c7598","uploaded + linked","done",""
"Hydraulic Concrete mixer mod. Hopper - S750","already imported","55b00743-f72a-4bc5-b76e-53a563bb6509","uploaded + linked","done",""
"MC1050","failed","","not attempted","product insert","The remote server returned an error: (400) Bad Request. | {""code"":""PGRST102"",""details"":null,""hint"":null,""message"":""Empty or invalid json""}"
"Concrete Mixer (MC-92S-H8","already imported","aa38ccfa-06df-42d8-bee4-10d0eb7ceabc","no legacy image","done",""
"Aurora Piston Pump Machines Drywall","already imported","11d89910-c727-4fad-a576-a1c211140bcf","uploaded + linked","done",""
"Hurricane 225 XR-1 and XR-2","already imported","b7b08d9b-e5ec-4b24-a45a-7d2df95135bf","uploaded + linked","done",""
"Concrete Mixer - 125cm Diesel","already imported","70c6c175-8400-43a6-af04-587ae193adba","uploaded + linked","done",""
"Concrete Mixer - 95cm Diesel","inserted","7119a074-fc42-46e7-bb00-6a8045d0dea0","uploaded + linked","done",""
"Mortar Mixer - 855pm Gas","inserted","d24dc591-1174-43f8-800b-637297884ee6","uploaded + linked","done",""
"Concrete Pump (C-30HDN)","already imported","d95c9075-5940-4fba-a4c1-bfb428475f37","uploaded + linked","done",""
"Mid-Range Concrete Pump (LS-40)","failed","","not attempted","product insert","The remote server returned an error: (400) Bad Request. | {""code"":""PGRST102"",""details"":null,""hint"":null,""message"":""Empty or invalid json""}"
"The Shindaiwa EC7500","already imported","fb1aebb5-8673-478a-af4a-475dd7ac5926","uploaded + linked","done",""
"MVC-90","already imported","26337a87-aa7d-44f0-92b5-0ad672c91259","uploaded + linked","done",""
"Oztec Concrete Vibrator","already imported","c39fff57-e8a9-478a-8cfe-22d4abeea045","uploaded + linked","done",""
"Rubber Tips","failed","","not attempted","product insert","The remote server returned an error: (400) Bad Request. | {""code"":""PGRST102"",""details"":null,""hint"":null,""message"":""Empty or invalid json""}"
"A3000 – Features and Benefits","already imported","a71ee44d-ddc1-41b5-b7d4-470550539d40","uploaded + linked","done",""
"M1000 – Features and Benefits","inserted","dce30ed7-3147-445f-87d6-61c1ddc0d066","uploaded + linked","done",""
