"Include","Confidence","Name","Brand","Model","Category","Description","ImagePath","ImageUrl","SourcePage","SourceRawFile","ListingType","CallForPrice","Quantity","Status","Published","Featured","DisplayOrder"
"YES","95","Model # SP2215L","","SP2215L","Safety Equipment","Soft-Pack energy absorber with ½"" wide polyester rope lanyard with a locking snaphook at each end. | !","images/gemtor/sp2215l_nb.gif","https://billsequipment.mydomain.com/images/gemtor/sp2215l_nb.gif","https://billsequipment.mydomain.com/safetyequipment.htm","raw/0049-safetyequipment.html","product","YES","1","active","YES","NO","250"
"YES","95","Model # VF505","","VF505","Safety Equipment","Automatic energy absorbing rope grab follows a worker up and down a 5/8""- 3/4"" diameter vertical synthetic lifeline. The unit's controlled, shock-absorbing action eliminates the need for an energy absorbing lanyard. The patented design allows the rope grab to be attached, detached and positioned at any point on the vertical lifeline. Weighs 1 1/2 lbs. and is made of stainless steel. New York State Approval # 9502 | Other Available Models: | VF505WL2 -  rope grab with permanently attached 2' long x 1"" wide polyester web lanyard with Model # 3155 locking snaphook. | VF505WL3 - Same as above except 3' long. | !","images/gemtor/VF505.jpg","https://billsequipment.mydomain.com/images/gemtor/VF505.jpg","https://billsequipment.mydomain.com/safetyequipment.htm","raw/0049-safetyequipment.html","product","YES","1","active","YES","NO","260"
"YES","95","Model # VW655","","VW655","Safety Equipment","Replaces Model # VW651 | | Stainless steel cable grab for use with 5/16"" - 3/8"" diameter stainless steel wire rope (7x19 aircraft cable, non-lubed). Can be attached, detached, and positioned at any point on the vertical lifeline. Weighs 1 1/2 lbs. An energy absorber lanyard shall be used for connection to a full-body harness. | !","images/gemtor/VW655.jpg","https://billsequipment.mydomain.com/images/gemtor/VW655.jpg","https://billsequipment.mydomain.com/safetyequipment.htm","raw/0049-safetyequipment.html","product","YES","1","active","YES","NO","270"
"YES","95","Most Popular Mesh - Class 2 (S15Z)","","S15Z","Safety Equipment","Most Popular Mesh - Class 2 (S15) | ! | | |  | !","images/ERB/ERB vests_Most Popular Mesh - Class 2 S15.jpg","https://billsequipment.mydomain.com/images/ERB/ERB%20vests_Most%20Popular%20Mesh%20-%20Class%202%20S15.jpg","https://billsequipment.mydomain.com/safetyequipment.htm","raw/0049-safetyequipment.html","product","YES","1","active","YES","NO","280"
"YES","95","M-Pact Fingerless Glove (Black)","","MMP-05","Safety Equipment","M-Pact Glove (Black) | | MMP-05 | ! | | |  | | MFL-05 | !","images/Mechanix/mmp-05.jpg","https://billsequipment.mydomain.com/images/Mechanix/mmp-05.jpg","https://billsequipment.mydomain.com/safetyequipment.htm","raw/0049-safetyequipment.html","product","YES","1","active","YES","NO","290"
"YES","95","M-Pact Glove (Blue)","","MMP-02","Safety Equipment","M-Pact Glove (Red) | | MMP-02 | ! | | | |  | | MMP-03 | !","images/Mechanix/mmp-02.jpg","https://billsequipment.mydomain.com/images/Mechanix/mmp-02.jpg","https://billsequipment.mydomain.com/safetyequipment.htm","raw/0049-safetyequipment.html","product","YES","1","active","YES","NO","300"
"YES","95","Omega II 6-point Suspension | Meets ANSI z89.1, Type 1, Class C, E and G Requirements","","Z107","Safety Equipment","Hi-Viz Yellow and Hi-Viz Lime meet the chromaticity and luminance requirements for background material in ANSI Z107. | !","images/ERB/ERB hats 2.jpg","https://billsequipment.mydomain.com/images/ERB/ERB%20hats%202.jpg","https://billsequipment.mydomain.com/safetyequipment.htm","raw/0049-safetyequipment.html","product","YES","1","active","YES","NO","310"
"YES","90","or visit store to purchase!","","","Safety Equipment","SL2 Series | with cast aluminum housing and cable lifeline (spectra rope available) | | Available Models: | SL2-30 - 30' long galvanized steel lifeline, 20 lbs. | SL2-30S - 30' long stainless steel lifeline, 20 lbs. | SL2-50 - 50' long galvanized steel lifeline, 29 lbs. | SL2-50S - 50' long stainless steel lifeline, 29 lbs. | SL2-100 - 100' long galvanized steel lifeline, 45 lbs. | SL2-100S - 100' long stainless steel lifeline, 45 lbs. | !","images/gemtor/SL2.gif","https://billsequipment.mydomain.com/images/gemtor/SL2.gif","https://billsequipment.mydomain.com/safetyequipment.htm","raw/0049-safetyequipment.html","product","YES","1","active","YES","NO","320"
"YES","95","or visit store to purchase!","","SRL-30","Safety Equipment","SRL Series | with steel housing and cable lifeline (spectra rope available) Available Models: | SRL-30 - 30' long galvanized steel lifeline, 20 lbs. | SRL-30S - 30' long stainless steel lifeline, 20 lbs. | SRL-50 - 50' long galvanized steel lifeline, 27 lbs. | SRL-50S - 50' long stainless steel lifeline, 27 lbs. | SRL-65 - 65' long galvanized steel lifeline, 30 lbs. | SRL-65S - 65' long stainless steel lifeline, 30 lbs. | !","images/gemtor/srl.gif","https://billsequipment.mydomain.com/images/gemtor/srl.gif","https://billsequipment.mydomain.com/safetyequipment.htm","raw/0049-safetyequipment.html","product","YES","1","active","YES","NO","330"
"YES","90","or visit store to purchase!","","","Safety Equipment","Model # 933 | Lightweight, sub-pelvic, polyester full-body harness. Features front D-ring for ladder climbing, positioning, suspension, rescue or restraint. Quick connect buckles on leg straps and at hip for easy donning and doffing. | (pat. pend.) | Meets OSHA, ANSI standards | !","images/gemtor/933.gif","https://billsequipment.mydomain.com/images/gemtor/933.gif","https://billsequipment.mydomain.com/safetyequipment.htm","raw/0049-safetyequipment.html","product","YES","1","active","YES","NO","340"
"YES","90","or visit store to purchase!","","","Safety Equipment","Model # 859 | Lightweight, sub-pelvic, | polyester full-body harness with adjustable shoulder straps, tongue buckles on leg straps and waist belt and quick connect buckle on chest strap. | Meets OSHA, ANSI standards | !","images/gemtor/859.gif","https://billsequipment.mydomain.com/images/gemtor/859.gif","https://billsequipment.mydomain.com/safetyequipment.htm","raw/0049-safetyequipment.html","product","YES","1","active","YES","NO","350"
"YES","90","or visit store to purchase!","","","Safety Equipment","Model # 932 | Lightweight, sub-pelvic, polyester full-body harness. The Infinitely adjustable friction buckles on the leg straps and quick connect chest strap makes the 932 the perfect solution when a harness must be shared among workers. | New York State Approval # 9594 | Meets OSHA, ANSI standards | !","images/gemtor/932.gif","https://billsequipment.mydomain.com/images/gemtor/932.gif","https://billsequipment.mydomain.com/safetyequipment.htm","raw/0049-safetyequipment.html","product","YES","1","active","YES","NO","360"
"YES","95","or visit store to purchase!","","SWL-11","Safety Equipment","SWL Series | with 1"" wide polyester web lifeline Available Models: | SWL-11 - Aluminum housing, 11' long web lifeline, 8.25 lbs. | SWL-20 - Steel housing, 20' long web lifeline, 13.5 lbs. | SWL-30 - Steel housing, 30' long web lifeline, 14.5 lbs. | !","images/gemtor/SWL.gif","https://billsequipment.mydomain.com/images/gemtor/SWL.gif","https://billsequipment.mydomain.com/safetyequipment.htm","raw/0049-safetyequipment.html","product","YES","1","active","YES","NO","370"
