"Name","Brand","Model","Category","ProductAction","ProductId","ImageAction","ImageUrl","Error"
"Ideal for","EDCO","","Concrete Finishing","inserted","31c12f24-8d2d-4c3b-8b97-8ab0c2c32a8b","none","https://billsequipment.mydomain.com/images/edco/stones.jpg","The remote server returned an error: (400) Bad Request."
"Finishing Brooms | *","Kraft Tool","","Concrete Finishing","inserted","8f8e36af-e743-4591-a938-1490fe5b50a5","none","https://billsequipment.mydomain.com/images/kraft/con_finish_broom.gif","The remote server returned an error: (400) Bad Request."
"F-24, F-36/4, F-46/4, F-46/4 HD Models Available","MBW","F-24","Concrete Finishing","inserted","24d980d2-6da6-4c91-a6c3-8dbef454b9bb","none","https://billsequipment.mydomain.com/images/mbw/walkbehindpowertrowels.jpg","The remote server returned an error: (400) Bad Request."
"36"" HP-Series (HPLA-36-4-8H","Multiquip","HPLA-36-4-8H","Concrete Finishing","inserted","03d5810c-66e3-407d-81dd-40d11d606200","none","https://billsequipment.mydomain.com/images/multiquip/HP-serieswalktrowel.gif","The remote server returned an error: (400) Bad Request."
"48"" HD-series (HDA-48-4-11H)","Multiquip","HDA-48-4-11H","Concrete Finishing","inserted","3a7342ce-653f-4fbf-96e7-b6328a087127","none","https://billsequipment.mydomain.com/images/multiquip/HD-series.gif","The remote server returned an error: (400) Bad Request."
"Concrete mixer mod. S 380 - type S 95","Lino Sella","S360","Concrete Mixers","inserted","f06588b2-b55f-4b93-8797-cc0714742fd6","none","https://billsequipment.mydomain.com/images/linosella/s380_s95.jpg","The remote server returned an error: (400) Bad Request."
"Hydraulic Concrete mixer mod. Hopper","Lino Sella","","Concrete Mixers","inserted","228ee40d-3d09-4fe6-a4da-09a4378af7da","none","https://billsequipment.mydomain.com/images/linosella/hopper%20m1000.jpg","The remote server returned an error: (400) Bad Request."
"Hydraulic Concrete mixer mod. Hopper - S360","Lino Sella","S360","Concrete Mixers","skipped - matches existing product","f06588b2-b55f-4b93-8797-cc0714742fd6","not attempted","https://billsequipment.mydomain.com/images/linosella/hopper%20s360.jpg",""
"Hydraulic Concrete mixer mod. Hopper - S520","Lino Sella","S520","Concrete Mixers","inserted","5b0c4b5b-8a65-4f54-adb0-7762e54c7598","none","https://billsequipment.mydomain.com/images/linosella/hopper%20s520.jpg","The remote server returned an error: (400) Bad Request."
"Hydraulic Concrete mixer mod. Hopper - S750","Lino Sella","S750","Concrete Mixers","inserted","55b00743-f72a-4bc5-b76e-53a563bb6509","none","https://billsequipment.mydomain.com/images/linosella/hopper%20s750.jpg","The remote server returned an error: (400) Bad Request."
